hour_block,temperature
2025-07-12 22:00:00,72.93095238095239
2025-07-12 23:00:00,57.5271186440678
2025-07-13 00:00:00,58.430205278592375
2025-07-13 01:00:00,55.29986648865153
2025-07-13 02:00:00,57.662295081967216
2025-07-13 03:00:00,57.88
2025-07-13 10:00:00,58.741791044776114
2025-07-13 11:00:00,58.8375
2025-07-13 12:00:00,57.47222222222222
2025-07-13 13:00:00,56.98181818181818
2025-07-13 14:00:00,57.92272727272727
2025-07-13 23:00:00,57.84666666666667
2025-07-14 00:00:00,59.47261146496816
2025-07-14 01:00:00,58.71686746987952
2025-07-14 02:00:00,58.8625
2025-07-14 10:00:00,57.5125
2025-07-14 13:00:00,58.53764705882353
2025-07-14 14:00:00,59.37716894977169
2025-07-14 15:00:00,60.313167259786475
2025-07-14 17:00:00,62.58491803278689
2025-07-14 18:00:00,59.4
2025-07-14 20:00:00,59.019047619047626
2025-07-14 23:00:00,58.614285714285714
2025-07-15 00:00:00,57.699999999999996
2025-07-15 01:00:00,57.51818181818182
2025-07-15 15:00:00,58.58181818181818
2025-07-15 16:00:00,57.61078431372549
2025-07-15 17:00:00,56.23333333333333
2025-07-15 19:00:00,59.22392857142857
2025-07-15 23:00:00,56.410638297872346
2025-07-16 00:00:00,56.255172413793105
2025-07-16 09:00:00,58.3
2025-07-16 13:00:00,57.68636363636363
2025-07-17 12:00:00,57.36666666666667
2025-07-17 13:00:00,58.785714285714285
2025-07-17 17:00:00,58.2037037037037
2025-07-18 14:00:00,57.863667820069196
2025-07-19 10:00:00,58.10763358778626
2025-07-19 11:00:00,60.6566009104704
2025-07-19 12:00:00,63.44345794392523
2025-07-19 17:00:00,57.77807017543859
2025-07-19 18:00:00,55.76269113149848
2025-07-19 19:00:00,57.8130890052356
2025-07-20 00:00:00,57.62105263157895
2025-07-21 02:00:00,57.24622641509434
2025-07-21 03:00:00,57.21121495327103
2025-07-21 04:00:00,56.9048275862069
2025-07-21 05:00:00,57.092245989304814
2025-07-21 21:00:00,56.8
2025-07-22 00:00:00,57.8421052631579
2025-07-30 22:00:00,56.57954545454545
